user_id,reason,flagged_at,expires_at
31,SUSPICIOUS_PATTERN,2026-03-29 20:10:33.750868,2026-03-29 20:20:33.750868
17,SUSPICIOUS_PATTERN,2026-03-29 20:44:33.750868,2026-03-29 21:14:33.750868
7,SUSPICIOUS_PATTERN,2026-03-29 20:36:33.750868,2026-03-29 20:41:33.750868
17,TOO_MANY_ATTEMPTS,2026-03-29 20:16:33.750868,2026-03-29 20:21:33.750868
30,TOO_MANY_ATTEMPTS,2026-03-29 19:50:33.750868,2026-03-29 20:00:33.750868
20,TOO_MANY_ATTEMPTS,2026-03-29 19:48:33.750868,2026-03-29 19:58:33.750868
2,TOO_MANY_ATTEMPTS,2026-03-29 20:27:33.750868,2026-03-29 20:32:33.750868
33,SUSPICIOUS_PATTERN,2026-03-29 20:21:33.750868,2026-03-29 20:51:33.750868
6,RAPID_RETRY,2026-03-29 20:41:33.750868,2026-03-29 20:51:33.750868
15,TOO_MANY_ATTEMPTS,2026-03-29 20:09:33.750868,2026-03-29 20:14:33.750868
41,RAPID_RETRY,2026-03-29 20:31:33.750868,2026-03-29 20:36:33.750868
5,SUSPICIOUS_PATTERN,2026-03-29 19:47:33.750868,2026-03-29 19:57:33.750868
5,RAPID_RETRY,2026-03-29 20:10:33.750868,2026-03-29 20:20:33.750868
38,TOO_MANY_ATTEMPTS,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
26,TOO_MANY_ATTEMPTS,2026-03-29 19:58:33.750868,2026-03-29 20:28:33.750868
20,TOO_MANY_ATTEMPTS,2026-03-29 20:17:33.750868,2026-03-29 20:47:33.750868
49,RAPID_RETRY,2026-03-29 19:59:33.750868,2026-03-29 20:29:33.750868
42,RAPID_RETRY,2026-03-29 20:42:33.750868,2026-03-29 21:12:33.750868
8,RAPID_RETRY,2026-03-29 19:50:33.750868,2026-03-29 19:55:33.750868
8,TOO_MANY_ATTEMPTS,2026-03-29 20:21:33.750868,2026-03-29 20:26:33.750868
13,RAPID_RETRY,2026-03-29 20:11:33.750868,2026-03-29 20:16:33.750868
38,RAPID_RETRY,2026-03-29 20:08:33.750868,2026-03-29 20:13:33.750868
11,RAPID_RETRY,2026-03-29 20:25:33.750868,2026-03-29 20:35:33.750868
36,TOO_MANY_ATTEMPTS,2026-03-29 19:59:33.750868,2026-03-29 20:04:33.750868
12,TOO_MANY_ATTEMPTS,2026-03-29 20:26:33.750868,2026-03-29 20:31:33.750868
22,SUSPICIOUS_PATTERN,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
43,SUSPICIOUS_PATTERN,2026-03-29 19:54:33.750868,2026-03-29 20:24:33.750868
28,SUSPICIOUS_PATTERN,2026-03-29 20:41:33.750868,2026-03-29 20:51:33.750868
26,TOO_MANY_ATTEMPTS,2026-03-29 20:00:33.750868,2026-03-29 20:10:33.750868
44,RAPID_RETRY,2026-03-29 19:56:33.750868,2026-03-29 20:26:33.750868
17,TOO_MANY_ATTEMPTS,2026-03-29 20:25:33.750868,2026-03-29 20:35:33.750868
50,TOO_MANY_ATTEMPTS,2026-03-29 20:26:33.750868,2026-03-29 20:31:33.750868
7,TOO_MANY_ATTEMPTS,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
33,RAPID_RETRY,2026-03-29 19:47:33.750868,2026-03-29 19:52:33.750868
37,SUSPICIOUS_PATTERN,2026-03-29 20:09:33.750868,2026-03-29 20:19:33.750868
45,RAPID_RETRY,2026-03-29 19:50:33.750868,2026-03-29 20:20:33.750868
44,RAPID_RETRY,2026-03-29 20:34:33.750868,2026-03-29 20:39:33.750868
32,SUSPICIOUS_PATTERN,2026-03-29 20:11:33.750868,2026-03-29 20:21:33.750868
20,RAPID_RETRY,2026-03-29 19:47:33.750868,2026-03-29 19:52:33.750868
33,SUSPICIOUS_PATTERN,2026-03-29 19:57:33.750868,2026-03-29 20:27:33.750868
20,SUSPICIOUS_PATTERN,2026-03-29 20:22:33.750868,2026-03-29 20:27:33.750868
34,RAPID_RETRY,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
11,SUSPICIOUS_PATTERN,2026-03-29 20:28:33.750868,2026-03-29 20:33:33.750868
12,TOO_MANY_ATTEMPTS,2026-03-29 20:38:33.750868,2026-03-29 21:08:33.750868
5,SUSPICIOUS_PATTERN,2026-03-29 20:29:33.750868,2026-03-29 20:34:33.750868
33,TOO_MANY_ATTEMPTS,2026-03-29 20:21:33.750868,2026-03-29 20:31:33.750868
43,SUSPICIOUS_PATTERN,2026-03-29 20:41:33.750868,2026-03-29 20:46:33.750868
49,RAPID_RETRY,2026-03-29 20:27:33.750868,2026-03-29 20:32:33.750868
9,SUSPICIOUS_PATTERN,2026-03-29 19:59:33.750868,2026-03-29 20:09:33.750868
45,SUSPICIOUS_PATTERN,2026-03-29 20:33:33.750868,2026-03-29 20:38:33.750868
14,TOO_MANY_ATTEMPTS,2026-03-29 20:18:33.750868,2026-03-29 20:28:33.750868
49,TOO_MANY_ATTEMPTS,2026-03-29 20:26:33.750868,2026-03-29 20:56:33.750868
17,TOO_MANY_ATTEMPTS,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
7,RAPID_RETRY,2026-03-29 20:12:33.750868,2026-03-29 20:42:33.750868
17,TOO_MANY_ATTEMPTS,2026-03-29 19:57:33.750868,2026-03-29 20:02:33.750868
32,RAPID_RETRY,2026-03-29 20:23:33.750868,2026-03-29 20:53:33.750868
6,SUSPICIOUS_PATTERN,2026-03-29 20:20:33.750868,2026-03-29 20:30:33.750868
22,SUSPICIOUS_PATTERN,2026-03-29 19:55:33.750868,2026-03-29 20:05:33.750868
46,TOO_MANY_ATTEMPTS,2026-03-29 20:28:33.750868,2026-03-29 20:38:33.750868
45,TOO_MANY_ATTEMPTS,2026-03-29 20:41:33.750868,2026-03-29 20:46:33.750868
14,TOO_MANY_ATTEMPTS,2026-03-29 20:33:33.750868,2026-03-29 20:43:33.750868
8,RAPID_RETRY,2026-03-29 19:58:33.750868,2026-03-29 20:08:33.750868
8,TOO_MANY_ATTEMPTS,2026-03-29 19:46:33.750868,2026-03-29 20:16:33.750868
1,TOO_MANY_ATTEMPTS,2026-03-29 19:55:33.750868,2026-03-29 20:00:33.750868
44,SUSPICIOUS_PATTERN,2026-03-29 20:25:33.750868,2026-03-29 20:30:33.750868
4,SUSPICIOUS_PATTERN,2026-03-29 20:44:33.750868,2026-03-29 21:14:33.750868
29,TOO_MANY_ATTEMPTS,2026-03-29 20:44:33.750868,2026-03-29 20:54:33.750868
12,RAPID_RETRY,2026-03-29 20:00:33.750868,2026-03-29 20:05:33.750868
4,TOO_MANY_ATTEMPTS,2026-03-29 19:53:33.750868,2026-03-29 20:03:33.750868
20,SUSPICIOUS_PATTERN,2026-03-29 20:31:33.750868,2026-03-29 21:01:33.750868
9,RAPID_RETRY,2026-03-29 20:35:33.750868,2026-03-29 21:05:33.750868
